"locale","object_class","field","foreign_key","content"
"fi","E100\\CoreBundle\\Entity\\Theme","title",6,"Jumalan kansan sankareit"
"fi","E100\\CoreBundle\\Entity\\Theme","description",6,"Luvatun maan saavuttaminen oli pitkän tien pää. Jumalan lupaukset toteutuivat ihmeellisesti. Siksi on hämmentävää, että Tuomarien kirja kertoo kansan luopuneen Herran seuraamisesta. Tämä ei voinut tapahtua hetkessä, vaan vähittäinen kompromissien teko ja mukautuminen pakanalliseen ympäristöön aiheuttivat etääntymisen isien Jumalasta. Tuomarien aika on Israelin historian pimeä lehti. Kansa sortuu epäjumalien palvelukseen. Parhaatkin johtajat ovat sellaisia, joiden elämä ei kaikessa kelpaa esikuvaksi meille. Silti myös tämän ajan läpi Jumala kuljettaa omaa pelastushistoriaansa. Jumala toimii heikkojen ja epäonnistuneiden ihmisten kautta ja siunaa heitä."
"fi","E100\\CoreBundle\\Entity\\Theme","title",7,"Jumalan kansasta kansakunt"
"fi","E100\\CoreBundle\\Entity\\Theme","description",7,"Tuomarien aika päättyi siihen, että kansa halusi itselleen kuninkaan, ”niin kuin kaikilla muillakin kansoilla on”. Ensimmäinen kuningas oli Saul, joka yhdisti hajanaisen heimoliiton yhdeksi kansaksi. Tähän tarvittiin yhteinen vihollinen, filistealaiset. Filistealaiset kuuluivat ns. merikansoihin, jotka tulivat Lähi-idän rannikoille 1100–1000 -luvuilla eKr. Saulia seurasi Daavid, jonka aikaa pidetään muinaisen Israelin loistavimpana kukoistuskautena. Sotien, vasallisopimusten ja naimakauppojen avulla valtakunta laajeni suurimmilleen ulottuen pohjoisessa Eufrat-virrasta etelään Egyptin rajoille. Daavid valloitti Jerusalemin Israelin ensimmäiseksi pääkaupungiksi. Daavidille annettiin myös lupaus hänen sukuunsa syntyvästä kuninkaasta, joka hallitsisi ikuisesti. Tämä kuningas oli noin 1000 vuotta myöhemmin syntyvä Jeesus."
"fi","E100\\CoreBundle\\Entity\\Theme","title",8,"Ongelmi"
"fi","E100\\CoreBundle\\Entity\\Theme","description",8,"Daavidin jälkeen hallitsijaksi tuli Salomo, joka rakennutti Jerusalemiin ensimmäisen temppelin. Salomon kuoltua valtataistelu johti valtakunnan kahtiajakoon vuonna 930 eKr. Pohjoisvaltakuntaa kutsuttiin Israeliksi ja etelävaltakuntaa Juudaksi. Pohjoisvaltakunta oli vauras, mutta ajautui yhä syvempään epäjumalien palvontaan ensimmäisen kuninkaansa Jerobeamin johdattamana. Valtakunta tuhoutui assyrialaisten hyökkäykseen vuonna 722 eKr. Kymmenen heimoa hävitettiin ja ajettiin maanpakoon, josta ne eivät koskaan palanneet. Juuda säilytti lupauksen Daavidin suvusta tulevasta Messiaasta, eikä siksi voinut koskaan lopullisesti hävitä. Sen profeettoja olivat mm. Jesaja ja Jeremia. Juudaakin kohtasi tuho, kun Babylonian maailmanvalta Nebukadnessarin johdolla hyökkäsi Jerusalemiin ja hävitti temppelin maan tasalle. Alkoi Juudan pakkosiirtolaisuuden aika, josta se palasi vasta Babylonian hävittyä seuraavalle imperiumille, Persialle. Näin maailman mahtavat suurvallat saivat palvella Jumalan suunnitelmia."
"fi","E100\\CoreBundle\\Entity\\Theme","title",9,"Psalmeja ja sananlaskuj"
"fi","E100\\CoreBundle\\Entity\\Theme","description",9,"Raamatun viisauskirjallisuus, Psalmit, Sananlaskut, Saarnaaja ja Laulujen laulu, on syntynyt pitkän ajan kuluessa. Osan psalmeista on kuningas Daavid kirjoittanut itse, osa on kirjoitettu myöhemmin ja laitettu hänen nimiinsä. Psalmit on sekä juutalaisuudessa että kristillisessä kirkossa paljon luettu ja rakastettu rukouskirja. Monet psalmit viittaavat myös tulevaan Daavidin suvun hallitsijaan, Messiaaseen. Sananlaskut on perinteisesti ajateltu Salomon kirjoittamiksi. Salomo olikin viisas hallitsija, mutta ihan kaikkia Raamatun sananlaskuja hän ei todennäköisesti ole kirjoittanut. Sananlaskujen kirjassa on paljon sellaista kansanviisautta, jota tavataan muidenkin kansojen sananparsissa. Ne ovat yleistä elämänviisautta, jolla kansaa on opetettu silloin, kun lukutaito ei ole ollut kovin yleinen."
"fi","E100\\CoreBundle\\Entity\\Theme","title",10,"Jumalan sanansaattaji"
"fi","E100\\CoreBundle\\Entity\\Theme","description",10,"Raamatun profeettakirjallisuus on syntynyt 700- ja 400-luvun eKr. välillä. Suuriksi profeetoiksi kutsutaan Jesajaa, Jeremiaa, Hesekieliä ja Danielia. Tämä nimitys perustuu em. profeettakirjojen laajuuteen. Kahtatoista muuta kirjaprofeettaa kutsutaan pieniksi profeetoiksi. Sisällöltään kaikki profeettakirjat kuitenkin palvelevat omaa tärkeää tehtäväänsä. Profeettojen ensisijainen tehtävä oli kutsua kansaa tekemään parannusta epäjumalien palvelemisesta ja kääntymään Israelin Jumalan puoleen. He myös vaativat pappeja ja kansan johtajia olemaan rehellisiä ja oikeudenmukaisia ja pysymään Jumalan sanassa. Profeettojen sanomaan liittyi usein lupaus siitä, että kerran Jumala lähettäisi Daavidin suvusta tulevan kuninkaan, joka tuo pelastuksen ihmiskunnalle. Heidän sanomansa toi Messias-odotukseen uuden piirteen: kerran syntyvä Messias on kärsivä Herran palvelija."
"fi","E100\\CoreBundle\\Entity\\Theme","title",11,""Jeesus, Jumalan poika"
"fi","E100\\CoreBundle\\Entity\\Theme","description",11,"Vanha testamentti sisälsi suuren määrän lupauksia tulevasta Messiaasta. Osa Israelin kansasta oli nämä unohtanut, mutta osa odotti Messiaan tuloa. Uusi testamentti kertoo kahdesta iäkkäästä odottajasta, Simeonista ja Hannasta. He saivat kohdata Jeesus-lapsen Jerusalemin temppelissä. Jeesus syntyi keisari Augustuksen hallintokaudella Palestiinassa, joka oli tuolloin Rooman valtakunnan itäinen osa. Uusi testamentti kertoo Jeesuksen lapsuudesta hyvin niukasti. Sen sijaan hänen pari vuotta kestänyt julkinen toimintansa on kuvattu melko tarkasti. Myös juutalaisissa ja roomalaisissa lähteissä on pieniä mainintoja Jeesuksesta. Hän ei ollut mikään aikansa suurmies. Silti koko maailma laskee tänään aikataulunsa hänen syntymästään."
"fi","E100\\CoreBundle\\Entity\\Theme","title",12,"Jeesus opetta"
"fi","E100\\CoreBundle\\Entity\\Theme","description",12,"Jeesuksen opetuksia ei ihan heti kirjoitettu muistiin. Niitä kuunneltiin ja kerrottiin eteenpäin. Opetukset olivat, kuten juutalaisilla rabbeilla yleensäkin, havainnollisia esimerkkikertomuksia, viittauksia arkiseen elämään tai sananlaskunomaisia lyhyitä iskulauseita. Nämä oli helppo muistaa ja kertoa niitä edelleen. Ensimmäisen kirjallisen koosteen Jeesuksen elämästä teki Markus joskus 50–60 -luvulla. Myöhemmin Matteus ja Luukas käyttivät Markuksen evankeliumia esikuvanaan, mutta laajensivat omat kertomuksensa. Viimeisenä kirjoitettiin Johanneksen evankeliumi 90-luvulla. Evankeliumit osoittavat, että Jeesus on Vanhan testamentin lupaama Messias, Daavidin Poika."
"fi","E100\\CoreBundle\\Entity\\Theme","title",13,"Jeesuksen tekoj"
"fi","E100\\CoreBundle\\Entity\\Theme","description",13,"Jeesus teki useita suuria ihmeitä. Hän paransi sairaita, ajoi riivaajia ulos, ruokki nälkäisiä ja herätti jopa kuolleita. Ihmeiden tarkoitus oli osoittaa, että hän on Vanhassa testamentissa ennustettu Messias. Profeetat olivat tehneet samankaltaisia ihmeitä, mutta Jeesus teki ne suurempina. Hän myös täytti ennustukset, joissa sanottiin, että Jumalan avaa kuurojen korvat ja saa mykät puhumaan. Jeesuksen tarkoitus ei siis ollut parantaa kaikkia maansa sairaita, vaan osoittaa, että nyt Kirjoitukset ovat toteutuneet ja Jumalan valtakunta on tullut ihmisten keskelle. Näillä teoillaan hän ei viitannut vain siihen, että Messias on ihmeiden tekijä, vaan että hän on itse Jumala."
"fi","E100\\CoreBundle\\Entity\\Theme","title",14,"Jumalan ihmeellinen suunnitelm"
"fi","E100\\CoreBundle\\Entity\\Theme","description",14,"Jeesus ei tullut maailmaan ihmeiden tekijäksi eikä suureksi opettajaksi, vaikka hän oli näitä molempia. Hän tuli kuollakseen. Läpi Vanhan testamentin ihmiset olivat uhranneet veriuhreja, joiden kautta kansa sai syntinsä anteeksi.  Kyse oli Jumalan antamasta havainto-opetuksesta, jotta kansa ymmärtäisi, mitä Jeesuksen kuollessa tapahtuu. Harvat kuitenkin ymmärsivät. Jeesuksen kuolema oli lopullinen, täydellinen uhri kaikkien ihmisten kaikkien syntien vuoksi. Siihen uskomalla jokainen saa syntinsä anteeksi. Ylösnousemus kruunasi Jeesuksen sovitustyön Jumalan valtakunnan lopulliseksi voitoksi. Astuessaan taivaaseen Jeesus istui Isän oikealle puolelle ja otti sen kuninkuuden, josta oli ennustettu. Toistaiseksi emme kuitenkaan näe tätä valtaa, vaan voimme vain uskossa omistaa sen.  Kun Jeesus tulee takaisin, kaikkien silmät saavat nähdä hänet, joka on kuninkaiden Kuningas ja herrojen Herra."
"fi","E100\\CoreBundle\\Entity\\Theme","title",15,"Ensimmäiset kristity"
"fi","E100\\CoreBundle\\Entity\\Theme","description",15,"Jeesus kuoli ja nousi taivaaseen vuonna 30. Hän lähetti tänne Pyhän Hengen, mikä merkitsee sitä, että hän voi olla yhtä aikaa kaikkialla. Helluntai on kristillisen kirkon syntymäpäivä. Ensin oli kourallinen Jeesukseen uskovia ihmisiä, sitten 3000, ja kolme sataa vuotta myöhemmin kristinuskosta tuli Rooman valtakunnan virallinen valtionuskonto. Tänään se on maailman suurin uskonto. Pienestä siemenestä kasvoi suuri puu. Salaisuus oli tämä: jokainen kertoi uskostaan lähipiirissään ja niin sanoma levisi pian maasta toiseen. Meidänkin aikanamme hyvä sanoma leviää tehokkaimmin ihmiseltä ihmiselle."
"fi","E100\\CoreBundle\\Entity\\Theme","title",16,"Hyvä uutinen koko maailmall"
"fi","E100\\CoreBundle\\Entity\\Theme","description",16,"Alkuseurakunta oli kokonaan juutalainen. Kaikki tunsivat Vanhan testamentin ja noudattivat Mooseksen lakia. Vähitellen uskoon tuli myös ei-juutalaisia. Tästä syntyi suuri ongelma: voidaanko kristityiksi laskea sellaisetkin, jotka eivät tiedä mitään Vanhasta testamentista, eivätkä noudata sapattia tai muita Mooseksen lain säädöksiä? Nämä ei-juutalaiset, eli pakanat, olivat kuitenkin tulleet todella Jeesukseen uskoviksi ja niin heidät vähitellen kelpuutettiin joukkoon. Ennen pitkää seurakunnissa oli sekä juutalaisia että ei-juutalaisia jäseniä. Seurakunta kasvoi edelleen ja levisi yhä laajemmalle. Valtavan työn evankeliumin levittämiseksi teki apostoli Paavali, jonka toiminta ajoittui vuosien 45–65 välille. Tästä entisestä seurakunnan vainoojasta tuli monien uusien seurakuntien perustaja."
"fi","E100\\CoreBundle\\Entity\\Theme","title",17,"Kuulun Jumalall"
"fi","E100\\CoreBundle\\Entity\\Theme","description",17,"Apostoli Paavali matkusti käsittämättömän pitkiä matkoja pääasiassa jalkaisin. Kun yhdessä kaupungissa oli tullut 10–15 ihmistä kristityksi, hän nimitti sen seurakunnaksi, joka pitäisi huolta paikkakunnan kristityistä ja evankeliumin levittämisestä siellä. Itse hän siirtyi seuraavaan kaupunkiin. Näin hän kulki nykyisen Turkin ja Kreikan läpi kolmeen kertaan. Lopulta hän halusi päästä Roomaan ja sitä kautta vielä maailman toiselle reunalle Espanjaan. Paavali opetti nuoria seurakuntia kirjeillään, joita kierrätettiin seurakunnasta toiseen. Hän muistutti kristittyjä pysymään lujasti uskossa Jeesukseen ja välttämään harhaoppeja. Paavalin kirjeissä kiteytyy kristinuskon sanoma ja perusta."
"fi","E100\\CoreBundle\\Entity\\Theme","title",18,"Jumalan tahdon mukaan elämine"
"fi","E100\\CoreBundle\\Entity\\Theme","description",18,"Raamatusta saamme hyvät elämänohjeet. Siellä ei ole yksityiskohtaisia neuvoja joka tilanteeseen, mutta se antaa suuntaviivat, joiden mukaan kristitty elää. Näitä ohjeita kutsutaan Jumalan laiksi. Laki näyttää tien hyvään elämään. Sen noudattaminen ei kuitenkaan pelasta ketään. Pelastukseen johtaa evankeliumi. Siinä on kysymys Jumalan armosta, joka lahjoitetaan meille Jeesuksen tähden, ilman omia ansioitamme. Meidät kutsutaan tekemän hyviä tekoja, mutta emme tee niitä, jotta pelastuisimme, vaan koska olemme pelastetut."
"fi","E100\\CoreBundle\\Entity\\Theme","title",19,"Jeesuksen seuraamine"
"fi","E100\\CoreBundle\\Entity\\Theme","description",19,"Kristitty tahtoo elää Jumalan tahdon mukaista elämää. Kun hän rikkoo sitä vastaan, hän katuu ja pyytää anteeksi. Kristityn elämään kuuluukin sisäinen kamppailu. Hän haluaisi noudattaa kaikessa Jumalan tahtoa, mutta huomaa yhä uudestaan, ettei ole siinä niin hyvä kuin toivoisi olevansa. Ihanteen ja todellisuuden välinen ristiriita harmittaa ja kiusaa häntä. On tärkeää tunnistaa oma huonoutensa ja mahdottomuutensa, koska vain huono ja mahdoton tarvitsee pelastusta ja anteeksiantamusta. Usko perustuu Jeesuksen sovitustyöhön. Armon kokemuksesta syntyy halu auttaa muita."
"fi","E100\\CoreBundle\\Entity\\Theme","title",20,"Jumalan kanssa ikuisest"
"fi","E100\\CoreBundle\\Entity\\Theme","description",20,"Jeesus tulee kerran takaisin. Milloin, sitä kukaan ei tiedä. Siksi pitää olla valmis nyt. Millainen on riittävä valmius? Mikään oma ponnistelu ja yritys ei tuo tätä valmiutta. Vain Jeesus voi sen lahjoittaa. Valmius on syntien anteeksiuskomisessa. Se on kuin vaate, joka puetaan yllemme Jeesuksen ansion tähden. Ota se vastaan ja sen valmiimmaksi et voi koskaan tulla. Taivaassa on kerran vain armahdettuja syntisiä, ei muita."
